AE_Gujarat_2012																																													
Assembly_No	Year	month	DelimID	Poll_No	District_Name	Sub_Region	Constituency_Name	Constituency_No	Constituency_Type	Candidate	Sex	Age	Party	Position	Candidate_Type	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Margin	Margin_Percentage	Turnout_Percentage	N_Cand	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	No_Terms	Turncoat	Incumbent	Recontest	Deposit_Lost	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second	TCPD_Prof_Second_Desc	Election_Type
12	2012	12	4	0	Surat	South Gujarat	MANGROL (ST)	156	ST	CHAUDHARY TEJASBHAI AMARSINHBHAI	M	40	INC	2	ST	48149	173952	140327	34.31	39534	28.17	80.67	5	2.27	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14181	National Party	3482	Graduate	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MANDVI (ST)	157	ST	VASAVA PRABUBHAI NAGARBHAI	M	42	INC	1	ST	83298	209349	167248	49.81	24394	14.59	79.89	7	2.63	FALSE	2	INC	3482	SONGADH	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ14186	National Party	3482	Others	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MANDVI (ST)	157	ST	VASAVA HEMALATABEN MAHESHBHAI	F	34	BJP	2	ST	58904	209349	167248	35.22	46038	27.53	79.89	7	2.63	FALSE	2	IND	10809	SONGADH	FALSE	FALSE	0	FALSE	FALSE	TRUE	no	AEGJ14188	National Party	1605	Graduate Professional	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KAMREJ	158	GEN	PANSHERIYA PRAFULBHAI CHHAGANBHAI	M	41	BJP	1	GEN	126032	304630	219877	57.32	61371	27.91	72.18	8	2.33	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14195	National Party	1605	Graduate Professional	Business	Real Estate or Builder or Developer or Construction			State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	KAMREJ	158	GEN	BHAGIRATHBHAI MANUBHAI PITHAVDIWALA	M	30	INC	2	GEN	64661	304630	219877	29.41	44216	20.11	72.18	8	2.33	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14193	National Party	3482	8th Pass	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	SURAT EAST	159	GEN	GILITWALA RANJITBHAI MANGUBHAI	M	66	BJP	1	GEN	72649	190809	136079	53.39	15789	11.6	71.32	16	2.17	TRUE	2	BJP	1605	SURAT CITY EAST	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ12660	National Party	1605	Graduate	Other				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	SURAT EAST	159	GEN	PIRZADA KADIR KAYAMUDIN	M	59	INC	2	GEN	56860	190809	136079	41.78	54724	40.21	71.32	16	2.17	TRUE	2	INC	3482	SURAT CITY WEST	FALSE	TRUE	0	FALSE	FALSE	FALSE	no	AEGJ6713	National Party	3482	Graduate Professional	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	SURAT NORTH	160	GEN	CHOKSI AJAYKUMAR  JASHVANTLAL	M	56	BJP	1	GEN	59690	152013	103329	57.77	22034	21.32	67.97	16	2.17	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14217	National Party	1605	Post Graduate	Business				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	SURAT NORTH	160	GEN	KACHHDIYA DINESHBHAI MANUBHAI	M	43	INC	2	GEN	37656	152013	103329	36.44	35010	33.88	67.97	16	2.17	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14223	National Party	3482	12th Pass	Business	Real Estate or Builder or Developer or Construction			State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	VARACHHA ROAD	161	GEN	KANANI KISHORBHAI SHIVABHAI (KUMAR)	M	50	BJP	1	GEN	68529	185467	127385	53.8	20359	15.98	68.68	5	2.33	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14237	National Party	1605	8th Pass	Other				State Assembly Election (AE)
