AE_Gujarat_2017																																						
Year	Assembly_No	District_Name	Sub_Region	Name	Type	Number	Candidate	Sex	Age	Party	Position	No_Terms	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Turnout_Percentage	Margin	Margin_Percentage	No of candidates	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	Turncoat	Incumbent	Recontest	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	MAKWANA SIKANDAR ISMAIL	M	31	IND	11	0	274	255823	170589	0.16	66.68	7	0	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ417	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	TEJAS ALIAS SACHIN RAJGOR	M	37	IND	12	0	267	255823	170589	0.16	66.68	41	0.02	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ395	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	BABU SAMA	M	61	IND	13	0	226	255823	170589	0.13	66.68	30	0.02	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ404	Independents	10809	5th Pass	Labourer or Daily Wage		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	KHATRI MUNAF ABUBAKAR	M	46	IND	14	0	196	255823	170589	0.11	66.68	0	0	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ383	Independents	10809	10th Pass	Small Business or Self-employed		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	AHIR VASANBHAI GOPALBHAI	M	59	BJP	1	5	75331	229493	156170	48.24	68.05	11313	7.24	12	2.5	TRUE	5	BJP	1605	ANJAR	TRUE	TRUE	FALSE	TRUE	TRUE	AEGJ6853	National Party	1605	5th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	V. K. HUMBAL	M	61	INC	2	0	64018	229493	156170	40.99	68.05	59341	38	12	2.5	TRUE	2	INC	3482	ANJAR	TRUE	TRUE	FALSE	FALSE	TRUE	AEGJ12773	National Party	3482	10th Pass	Business		Agriculture
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	VEERA HARIBHAI SAMANTBHAI	M	32	IND	3	0	4677	229493	156170	2.99	68.05	1076	0.69	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ686	Independents	10809	8th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	None of the Above			NOTA	4		3601	229493	156170	2.31	68.05	1191	0.76	12	2.5	TRUE											NOTA	5897				
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	HADIYA PRAKASHBHAI HIRJIBHAI (AHIR)	M	44	IND	5	0	2410	229493	156170	1.54	68.05	876	0.56	12	2.5	TRUE	1						FALSE	FALSE	FALSE	AEGJ759	Independents	10809	12th Pass	Business	Real Estate or Builder or Developer or Construction	Agriculture
2017	13	Kachchh	Saurashtra-Kutch	ANJAR	GEN	4	MANGALBHAI KARAMSHIBHAI RABARI	M	57	BMUP	6	0	1534	229493	156170	0.98	68.05	68	0.04	12	2.5	TRUE	2	IND	10809	BHUJ	FALSE	FALSE	FALSE	FALSE	FALSE	AEGJ570	Local Party	1074	5th Pass	Social Work		
